POINT_X,POINT_Y,Z
482941.5574,2821638.248,6
482950.8979,2821654.925,6
482960.6984,2821671.361,6
482970.8228,2821687.621,6
482981.2851,2821703.679,6
482992.2585,2821719.401,6
482997.774,2821726.743,6
483009.2622,2821741.106,6
483021.2533,2821755.104,6
483027.4411,2821761.947,6
483033.7828,2821768.655,6
483040.3136,2821775.183,6
483046.8243,2821781.277,6
483053.5117,2821787.189,6
483060.3421,2821792.942,6
483074.3503,2821803.971,6
483081.6924,2821809.329,6
483089.147,2821814.413,6
483096.7278,2821819.129,6
483104.4566,2821823.344,6
483111.6747,2821826.631,6
483119.0066,2821829.276,6
483126.4204,2821831.162,6
483134.2787,2821832.194,6
483142.0814,2821832.252,6
483150.3882,2821831.185,6
483158.3085,2821828.824,6
483165.3145,2821825.262,6
483171.7383,2821820.538,6
483177.2185,2821815.155,6
483182.1972,2821809.056,6
483186.7333,2821802.396,6
483191.5202,2821794.078,6
483195.8454,2821785.322,6
483199.7642,2821776.245,6
483203.2892,2821766.922,6
483206.3798,2821757.533,6
483209.1558,2821748.009,6
483211.6808,2821738.396,6
483213.9905,2821728.723,6
483216.0955,2821719.007,6
483217.9835,2821709.256,6
483219.6362,2821699.493,6
483221.1038,2821689.709,6
483223.6563,2821670.115,6
483225.8429,2821650.516,6
483227.6748,2821630.917,6
483229.0442,2821612.024,6
483230.1669,2821593.131,6
483233.9646,2821517.599,6
483236.545,2821461.314,6
483240.3262,2821368.603,6
483241.3406,2821350.332,6
483242.8102,2821332.144,6
483243.8491,2821323.122,6
483245.2011,2821314.183,6
483247.1173,2821304.656,6
483249.5289,2821295.313,6
483252.4785,2821286.219,6
483256.0655,2821277.471,6
483259.7196,2821270.377,6
483263.9177,2821263.678,6
483268.659,2821257.447,6
483273.9818,2821251.795,6
483280.7433,2821246.24,6
483288.1699,2821241.546,6
483296.1314,2821237.709,6
483302.3588,2821235.434,6
483308.9189,2821233.722,6
483316.2148,2821232.848,6
483325.5152,2821232.974,6
483335.1667,2821234.312,6
483344.756,2821236.798,6
483353.8785,2821240.355,6
483361.716,2821244.58,6
483368.5151,2821249.406,6
483374.0324,2821254.541,6
483374.6119,2821255.261,6
483431.8047,2820437.149,8
483431.0279,2820437.534,8
483425.7719,2820440.512,8
483419.2385,2820444.679,8
483411.8803,2820449.997,8
483403.6123,2820456.863,8
483395.2724,2820464.721,8
483387.1703,2820473.242,8
483379.5978,2820482.077,8
483372.8406,2820490.867,8
483367.1197,2820499.311,8
483357.8818,2820515.121,8
483344.8732,2820539.285,8
483332.5574,2820563.835,8
483324.6922,2820580.906,8
483317.0912,2820598.635,8
483306.1485,2820625.433,8
483295.5444,2820652.37,8
483288.7081,2820670.414,8
483282.0738,2820688.73,8
483259.4256,2820753.044,8
483249.4589,2820779.796,8
483235.7882,2820814.855,8
483221.8291,2820849.814,8
483211.7756,2820874.275,8
483201.34,2820898.566,8
483193.9492,2820914.551,8
483190.0301,2820922.462,8
483181.7954,2820938.078,8
483173.0894,2820953.427,8
483163.8345,2820968.427,8
483158.9846,2820975.681,8
483148.7889,2820989.822,8
483143.4567,2820996.702,8
483137.9555,2821003.433,8
483132.2585,2821009.983,8
483126.3239,2821016.306,8
483120.0637,2821022.413,8
483113.5696,2821028.289,8
483106.8922,2821033.98,8
483093.1207,2821044.919,8
483077.9339,2821056.077,8
483062.4165,2821066.802,8
483046.5971,2821077.07,8
483038.5461,2821081.975,8
483030.2096,2821086.787,8
483013.2845,2821095.99,8
482936.015,2821136.444,8
482919.4926,2821144.855,8
482887.9501,2821160.578,8
482872.3422,2821168.748,8
482864.6537,2821173.038,8
482856.7883,2821177.694,8
482849.0316,2821182.535,8
482833.8124,2821192.678,8
482826.3605,2821197.97,8
482819.0405,2821203.426,8
482811.8899,2821209.075,8
482805.5598,2821214.417,8
482799.4121,2821219.936,8
482793.4588,2821225.622,8
482787.728,2821231.477,8
482782.2661,2821237.516,8
482777.185,2821243.707,8
482772.5119,2821250.138,8
482768.3522,2821256.855,8
482764.6277,2821264.279,8
482761.5226,2821272.008,8
482758.9769,2821279.979,8
482756.9706,2821288.147,8
482755.3364,2821297.566,8
482754.2487,2821307.133,8
482753.5943,2821316.797,8
482753.3059,2821326.521,8
482753.3583,2821336.277,8
482753.7648,2821346.041,8
482754.5319,2821355.61,8
482755.6204,2821365.157,8
482756.9938,2821374.673,8
482758.6453,2821384.144,8
482760.5964,2821393.557,8
482762.8014,2821402.638,8
482767.8971,2821420.637,8
482770.6864,2821429.574,8
482776.6207,2821447.377,8
482786.0727,2821473.947,8
482795.8352,2821500.385,8
482802.5119,2821517.933,8
482812.6691,2821543.602,8
482830.1693,2821586.123,8
482837.4373,2821603.007,8
482845.0609,2821619.829,8
482857.1077,2821644.935,8
482869.473,2821669.894,8
482882.0159,2821694.769,8
482894.8175,2821719.512,8
482907.9825,2821743.918,8
482921.3962,2821768.199,8
482934.9745,2821792.399,8
482948.8701,2821816.417,8
482958.4805,2821832.111,8
482968.4297,2821847.479,8
482978.7231,2821862.604,8
482989.4524,2821877.383,8
482995.0557,2821884.573,8
483000.885,2821891.568,8
483007.5198,2821898.896,8
483014.4237,2821905.987,8
483021.5391,2821912.885,8
483028.8296,2821919.615,8
483036.2782,2821926.181,8
483043.886,2821932.565,8
483050.9893,2821938.22,8
483058.2217,2821943.701,8
483065.5753,2821949.002,8
483073.0541,2821954.097,8
483080.6744,2821958.938,8
483088.0968,2821963.267,8
483095.6581,2821967.294,8
483103.3524,2821970.987,8
483111.1845,2821974.287,8
483119.1707,2821977.098,8
483128.1974,2821979.532,8
483137.3876,2821981.318,8
483146.6928,2821982.516,8
483156.4429,2821983.148,8
483167.2936,2821982.78,8
483179.2268,2821981.238,8
483191.6208,2821978.535,8
483201.0146,2821975.722,8
483210.0585,2821972.367,8
483218.5,2821968.601,8
483227.5049,2821963.802,8
483235.0043,2821959.161,8
483237.3142,2821957.553,8
483434.3386,2820268.637,12
483429.2908,2820270.517,12
483423.694,2820273.033,12
483416.6327,2820276.569,12
483408.4491,2820281.143,12
483399.6054,2820286.606,12
483390.4764,2820292.799,12
483381.4322,2820299.552,12
483372.8423,2820306.691,12
483364.5302,2820314.537,12
483357.418,2820322.208,12
483351.5339,2820329.444,12
483340.5105,2820344.186,12
483335.2024,2820351.73,12
483325.1134,2820366.947,12
483310.901,2820390.029,12
483292.6587,2820421.26,12
483279.4827,2820445.082,12
483262.6043,2820477.525,12
483250.3321,2820502.053,12
483235.0967,2820533.734,12
483220.2377,2820565.592,12
483194.3008,2820622.503,12
483174.8086,2820663.355,12
483162.8202,2820687.728,12
483150.3536,2820712.463,12
483133.7516,2820744.796,12
483121.6723,2820767.734,12
483113.3739,2820782.888,12
483104.1154,2820798.912,12
483094.4663,2820814.695,12
483089.4715,2820822.474,12
483084.3304,2820830.155,12
483073.5374,2820845.202,12
483062.2223,2820859.871,12
483050.4973,2820874.107,12
483038.4016,2820887.912,12
483025.9008,2820901.339,12
483019.4636,2820907.868,12
483013.145,2820913.984,12
483000.1476,2820925.833,12
482986.7328,2820937.204,12
482979.8594,2820942.686,12
482964.9275,2820953.781,12
482949.5837,2820964.313,12
482933.8713,2820974.291,12
482925.631,2820979.171,12
482917.3009,2820983.904,12
482900.4543,2820993.065,12
482874.99,2821006.23,12
482808.7129,2821039.32,12
482792.9619,2821047.556,12
482785.1663,2821051.817,12
482768.3984,2821061.574,12
482752.0153,2821071.948,12
482744.0101,2821077.411,12
482737.4174,2821082.168,12
482724.5607,2821092.12,12
482712.1681,2821102.64,12
482705.7229,2821108.563,12
482693.2763,2821120.862,12
482687.2661,2821127.204,12
482681.4151,2821133.673,12
482676.1748,2821139.771,12
482671.1237,2821145.995,12
482666.3022,2821152.359,12
482661.7673,2821158.89,12
482657.5947,2821165.626,12
482653.8335,2821172.636,12
482650.4782,2821179.855,12
482647.4943,2821187.248,12
482644.8706,2821194.79,12
482642.6196,2821202.466,12
482640.3785,2821212.037,12
482638.5941,2821221.746,12
482637.1537,2821231.551,12
482635.9825,2821241.42,12
482635.038,2821251.333,12
482634.3059,2821261.273,12
482633.799,2821271.231,12
482633.5558,2821281.2,12
482633.6037,2821290.755,12
482633.872,2821300.313,12
482634.8395,2821319.427,12
482636.1429,2821338.531,12
482639.3425,2821376.675,12
482641.3189,2821395.689,12
482642.4662,2821405.167,12
482643.7699,2821414.617,12
482645.2848,2821424.028,12
482647.0777,2821433.502,12
482649.0854,2821442.938,12
482653.5294,2821461.732,12
482663.2691,2821499.159,12
482673.4503,2821536.36,12
482688.9652,2821592.025,12
482696.8837,2821619.806,12
482702.2647,2821638.002,12
482721.6672,2821700.486,12
482730.1677,2821727.209,12
482738.858,2821753.833,12
482750.8066,2821789.112,12
482760.021,2821815.482,12
482766.3878,2821832.978,12
482773.0457,2821850.213,12
482780.0024,2821867.183,12
482787.1968,2821884.056,12
482798.4062,2821909.181,12
482806.3002,2821925.729,12
482810.311,2821933.652,12
482822.9449,2821957.115,12
482836.2919,2821980.188,12
482840.9267,2821987.767,12
482851.1225,2822003.587,12
482861.7245,2822019.134,12
482867.1663,2822026.802,12
482878.4051,2822041.851,12
482884.2714,2822049.166,12
482890.5181,2822056.472,12
482896.9804,2822063.582,12
482903.6426,2822070.497,12
482910.5097,2822077.199,12
482917.6089,2822083.646,12
482923.8403,2822088.877,12
482930.3582,2822093.967,12
482937.8917,2822099.336,12
482946.3453,2822104.904,12
482955.4385,2822110.489,12
482965.779,2822116.423,12
482976.116,2822122.03,12
482986.0206,2822127.171,12
483014.1318,2822140.998,12
